date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:59:38	69077/69077	---MCZ	200	added ('OK')	text/html	etag:%221941-1731668861;gz%22	https://sandeep.rishuadsbyshivank.site/tg/	C:/My%20Web%20Sites/jackpot/sandeep.rishuadsbyshivank.site/tg/index.html	(from )
11:59:39	123/123	---M-Z	200	added ('OK')	text/plain	etag:%222023-1731738579;gz%22	https://sandeep.rishuadsbyshivank.site/robots.txt		(from )
11:59:39	60575/60575	---M-Z	200	added ('OK')	text/css	etag:%22ec9f-67363c44-6085a3e5b400e6;gz%22	https://sandeep.rishuadsbyshivank.site/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.25.6	C:/My%20Web%20Sites/jackpot/sandeep.rishuadsbyshivank.site/wp-content/plugins/elementor/assets/css/frontend.minf34d.css	(from https://sandeep.rishuadsbyshivank.site/tg/)
11:59:39	12138/12138	---M-Z	200	added ('OK')	text/css	etag:%222f6a-67372b7d-707c4f665ef00587;gz%22	https://sandeep.rishuadsbyshivank.site/wp-content/uploads/elementor/css/post-8.css?ver=1731668861	C:/My%20Web%20Sites/jackpot/sandeep.rishuadsbyshivank.site/wp-content/uploads/elementor/css/post-8a49b.css	(from https://sandeep.rishuadsbyshivank.site/tg/)
11:59:39	16471/16471	---M-Z	200	added ('OK')	text/css	etag:%224057-67363c44-51f4c41b23e13f36;gz%22	https://sandeep.rishuadsbyshivank.site/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/My%20Web%20Sites/jackpot/sandeep.rishuadsbyshivank.site/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://sandeep.rishuadsbyshivank.site/tg/)
11:59:40	10260/10260	---M-Z	200	added ('OK')	text/css	etag:%222814-67363c44-1624a85652adadf7;gz%22	https://sandeep.rishuadsbyshivank.site/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min.css?ver=3.25.6	C:/My%20Web%20Sites/jackpot/sandeep.rishuadsbyshivank.site/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.minf34d.css	(from https://sandeep.rishuadsbyshivank.site/tg/)
11:59:40	600/600	---M-Z	200	added ('OK')	text/css	etag:%22258-67363c44-e10ebd181e24507b;gz%22	https://sandeep.rishuadsbyshivank.site/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.25.6	C:/My%20Web%20Sites/jackpot/sandeep.rishuadsbyshivank.site/wp-content/plugins/elementor/assets/css/widget-heading.minf34d.css	(from https://sandeep.rishuadsbyshivank.site/tg/)
11:59:41	254/254	---M--	200	added ('OK')	text/css	etag:%22fe-67363c44-f729c7724e97fccf;;;%22	https://sandeep.rishuadsbyshivank.site/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.25.6	C:/My%20Web%20Sites/jackpot/sandeep.rishuadsbyshivank.site/wp-content/plugins/elementor/assets/css/widget-image.minf34d.css	(from https://sandeep.rishuadsbyshivank.site/tg/)
11:59:41	704/704	---M-Z	200	added ('OK')	text/css	etag:%222c0-67363c44-8edc31b5c633b8ab;gz%22	https://sandeep.rishuadsbyshivank.site/wp-content/plugins/elementor/assets/css/widget-text-editor.min.css?ver=3.25.6	C:/My%20Web%20Sites/jackpot/sandeep.rishuadsbyshivank.site/wp-content/plugins/elementor/assets/css/widget-text-editor.minf34d.css	(from https://sandeep.rishuadsbyshivank.site/tg/)
11:59:41	2703/2703	---M-Z	200	added ('OK')	text/css	etag:%22a8f-67363c44-ee6f0249f543f9;gz%22	https://sandeep.rishuadsbyshivank.site/wp-content/plugins/elementor/assets/css/widget-star-rating.min.css?ver=3.25.6	C:/My%20Web%20Sites/jackpot/sandeep.rishuadsbyshivank.site/wp-content/plugins/elementor/assets/css/widget-star-rating.minf34d.css	(from https://sandeep.rishuadsbyshivank.site/tg/)
